Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason,date,cycle
100735,WEST TEXAS,3 BEAR FUEL,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
100734,WEST TEXAS,3 BEAR LEA,M2,RPQ,R,55000.0,60000.0,43560.0,16440.0,Y,N,N,Y,,01-17-2024,Timely
60826,PANHANDLE,A J RAMMING,MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
60152,CENTRAL,ABO FUEL DEL,MQ,DPQ,D,5000.0,5000.0,1100.0,3900.0,Y,N,N,Y,,01-17-2024,Timely
60151,CENTRAL,ABO REC PT.,M2,RPQ,R,40000.0,40000.0,0.0,40000.0,N,N,N,Y,,01-17-2024,Timely
28786,PANHANDLE,ADOBE OWENS CORNING,MQ,DPQ,D,13000.0,13000.0,3000.0,10000.0,N,N,N,Y,,01-17-2024,Timely
500305,CENTRAL,AGAVE ATOKA #3 STA,M2,RPQ,R,52000.0,54000.0,0.0,54000.0,N,N,N,Y,,01-17-2024,Timely
500307,CENTRAL,AGAVE LONG ARROYO MQ,M2,RPQ,R,70000.0,70000.0,2000.0,68000.0,Y,N,N,Y,,01-17-2024,Timely
13468,PANHANDLE,ALLSUPS CONV.STORE,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
56993,PANHANDLE,AMARILLO DEL.-SHERMAN,MQ,DPQ,D,7000.0,7000.0,0.0,7000.0,N,N,N,Y,,01-17-2024,Timely
57261,PANHANDLE,AMARILLO DELIVERY-ROBERTS,MQ,DPQ,D,2000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
500520,PANHANDLE,ANG CARSON CO. TAP,MQ,DPQ,D,1000.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
100766,PANHANDLE,ANG Caviness,MQ,DPQ,D,6000.0,6000.0,0.0,6000.0,N,N,N,Y,,01-17-2024,Timely
500171,PANHANDLE,ANG-O NEAL & SHADID II,MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
500170,PANHANDLE,ANG-SCOTT/BANDY II,MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
57274,PANHANDLE,ANR/TW RED DEER,MQ,DPQ,D,30000.0,30000.0,694.0,29306.0,N,N,N,Y,,01-17-2024,Timely
57274,PANHANDLE,ANR/TW RED DEER,M2,RPQ,R,200000.0,220000.0,20181.0,199819.0,N,N,N,Y,,01-17-2024,Timely
79049,PANHANDLE,ATMOS AIRPORT I/C,MQ,DPQ,D,250.0,250.0,1.0,249.0,N,N,N,Y,,01-17-2024,Timely
79052,PANHANDLE,ATMOS CANYON WEST I/C,MQ,DPQ,D,3000.0,3000.0,1400.0,1600.0,N,N,N,Y,,01-17-2024,Timely
79058,PANHANDLE,ATMOS PAMPA NORTH,MQ,DPQ,D,15600.0,15600.0,4500.0,11100.0,N,N,N,Y,,01-17-2024,Timely
57245,WEST TEXAS,ATMOS PIPELINE  WARD,MQ,DPQ,D,85000.0,85000.0,0.0,85000.0,N,N,N,Y,,01-17-2024,Timely
57245,WEST TEXAS,ATMOS PIPELINE  WARD,M2,RPQ,R,85000.0,85000.0,39817.0,45183.0,Y,N,N,Y,,01-17-2024,Timely
500154,WEST TEXAS,ATMOS PIPELINE PECOS,MQ,DPQ,D,95000.0,95000.0,10000.0,85000.0,N,N,N,Y,,01-17-2024,Timely
78474,PANHANDLE,ATMOS RANDALL COUNTY,MQ,DPQ,D,120000.0,120000.0,21604.0,98396.0,N,N,N,Y,,01-17-2024,Timely
9168,CENTRAL,ATOKA PECOS DIAMOND PL 8 INCH,M2,RPQ,R,30000.0,30000.0,0.0,30000.0,N,N,N,Y,,01-17-2024,Timely
100732,PHOENIX,Arlington Valley Plant,MQ,DPQ,D,250000.0,250000.0,8300.0,241700.0,N,N,N,Y,,01-17-2024,Timely
59362,PANHANDLE,BAILS/JOHNSON,MQ,DPQ,D,1000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13258,PANHANDLE,BAR G FEEDYARD,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
15420,PANHANDLE,BENZER FARMS LTD,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13202,PANHANDLE,BOGGESS-BANDY (FARM TAP),MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
500536,SAN JUAN2,BP FLORIDA PLANT I/C,M2,RPQ,R,360000.0,360000.0,80808.0,279192.0,Y,N,N,Y,,01-17-2024,Timely
79050,PANHANDLE,BP FLOWERS LISTON I/C,MQ,DPQ,D,2000.0,,,,N,N,N,N,Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable,01-17-2024,Timely
13278,PANHANDLE,C. A. CALDWELL,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
78113,W. THOREAU,CALPINE SO. POINT POWER DEL,MQ,DPQ,D,90000.0,100000.0,19873.0,80127.0,N,N,N,Y,,01-17-2024,Timely
10746,PANHANDLE,CARL LOOTEN,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13195,PANHANDLE,CARTHEL-FRYE #2 (FARM TAP),MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
500230,PANHANDLE,CATOR-BUNDY DELIVERY,MQ,DPQ,D,500.0,500.0,0.0,500.0,N,N,N,Y,,01-17-2024,Timely
500631,SAN JUAN2,CEP - LA PLATA,M2,RPQ,R,10000.0,21000.0,0.0,21000.0,N,N,N,Y,,01-17-2024,Timely
13314,PANHANDLE,CHARLES W GRIMSLEY,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
