"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100735","WEST TEXAS","3 BEAR FUEL","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","40901","19099","Y","N","N","Y",""
"60826","PANHANDLE","A J RAMMING","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"60152","CENTRAL","ABO FUEL DEL","MQ","DPQ","D","5000","5000","1100","3900","Y","N","N","Y",""
"60151","CENTRAL","ABO REC PT.","M2","RPQ","R","40000","40000","0","40000","N","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","3000","10000","N","N","N","Y",""
"500305","CENTRAL","AGAVE ATOKA #3 STA","M2","RPQ","R","52000","54000","0","54000","N","N","N","Y",""
"500307","CENTRAL","AGAVE LONG ARROYO MQ","M2","RPQ","R","70000","70000","2000","68000","Y","N","N","Y",""
"13468","PANHANDLE","ALLSUPS CONV.STORE","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"56993","PANHANDLE","AMARILLO DEL.-SHERMAN","MQ","DPQ","D","7000","7000","0","7000","N","N","N","Y",""
"57261","PANHANDLE","AMARILLO DELIVERY-ROBERTS","MQ","DPQ","D","2000","2000","0","2000","N","N","N","Y",""
"500520","PANHANDLE","ANG CARSON CO. TAP","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"100766","PANHANDLE","ANG Caviness","MQ","DPQ","D","6000","6000","0","6000","N","N","N","Y",""
"500171","PANHANDLE","ANG-O NEAL & SHADID II","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"500170","PANHANDLE","ANG-SCOTT/BANDY II","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"57274","PANHANDLE","ANR/TW RED DEER","MQ","DPQ","D","30000","30000","700","29300","N","N","N","Y",""
"57274","PANHANDLE","ANR/TW RED DEER","M2","RPQ","R","200000","220000","389","219611","N","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","1400","1600","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","4500","11100","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","MQ","DPQ","D","85000","85000","0","85000","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","39817","45183","Y","N","N","Y",""
"500154","WEST TEXAS","ATMOS PIPELINE PECOS","MQ","DPQ","D","95000","95000","10000","85000","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","22094","97906","N","N","N","Y",""
"9168","CENTRAL","ATOKA PECOS DIAMOND PL 8 INCH","M2","RPQ","R","30000","30000","0","30000","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","8300","241700","N","N","N","Y",""
"59362","PANHANDLE","BAILS/JOHNSON","MQ","DPQ","D","1000","2000","0","2000","N","N","N","Y",""
"13258","PANHANDLE","BAR G FEEDYARD","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"15420","PANHANDLE","BENZER FARMS LTD","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"13202","PANHANDLE","BOGGESS-BANDY (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"500536","SAN JUAN2","BP FLORIDA PLANT I/C","M2","RPQ","R","360000","360000","85927","274073","Y","N","N","Y",""
"79050","PANHANDLE","BP FLOWERS LISTON I/C","MQ","DPQ","D","2000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"13278","PANHANDLE","C. A. CALDWELL","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"78113","W. THOREAU","CALPINE SO. POINT POWER DEL","MQ","DPQ","D","90000","100000","20000","80000","N","N","N","Y",""
"10746","PANHANDLE","CARL LOOTEN","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13195","PANHANDLE","CARTHEL-FRYE #2 (FARM TAP)","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"500230","PANHANDLE","CATOR-BUNDY DELIVERY","MQ","DPQ","D","500","500","0","500","N","N","N","Y",""
"500631","SAN JUAN2","CEP - LA PLATA","M2","RPQ","R","10000","21000","0","21000","N","N","N","Y",""
"13314","PANHANDLE","CHARLES W GRIMSLEY","MQ","DPQ","D","3000","3000","0","3000","N","N","N","Y",""
"78479","PHOENIX","CHINO VALLEY DELIVERY","MQ","DPQ","D","10000","10000","0","10000","N","N","N","Y",""
"9198","PANHANDLE","CIG TUMBLEWEED REC CIG TW","M2","RPQ","R","40000","40000","20644","19356","Y","N","N","Y",""
"78424","SAN JUAN","CONOCO BLANCO PLANT I/C","M2","RPQ","R","550000","550000","0","550000","N","N","N","Y",""
"79003","PHOENIX","COOLIDGE PLANT","MQ","DPQ","D","144000","144000","0","144000","N","N","N","Y",""
"78508","SAN JUAN","CORTO INTERCONNECT","MQ","DPQ","D","100000","100000","19811","80189","N","N","N","Y",""
"79035","CENTRAL","COYOTE INTERCONNECT","MQ","DPQ","D","3500","3500","1300","2200","Y","N","N","Y",""
"13323","PANHANDLE","D RITTENBERRY","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"56339","CENTRAL","DAGGER DRAW","M2","RPQ","R","55000","55000","52825","2175","N","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","1485","4515","N","N","N","Y",""
"500018","PANHANDLE","DALEN ROHAN TAP","MQ","DPQ","D","500","1000","0","1000","N","N","N","Y",""
"78330","PANHANDLE","DAVID WINTER FTP","MQ","DPQ","D","500","5000","0","5000","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","24000","14000","Y","N","N","Y",""
"79029","CENTRAL","DCP FUEL TAP EDDY","MQ","DPQ","D","1000","1500","197","1303","Y","N","N","Y",""
"500262","WEST TEXAS","DCP HAT MESA","M2","RPQ","R","5000","5000","0","5000","N","N","N","Y",""
"500255","WEST TEXAS","DCP Madera","M2","RPQ","R","5000","11000","0","11000","N","N","N","Y",""
"79070","WEST TEXAS","DCP OCHOA I/C","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"500248","WEST TEXAS","DCP PURE GOLD","M2","RPQ","R","5000","5000","0","5000","N","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","56999","68001","Y","N","N","Y",""
"78491","PHOENIX","DESERT BASIN PLANT","MQ","DPQ","D","210000","150000","0","150000","N","N","N","Y",""
"78422","SAN JUAN","DJR - CHACO","M2","RPQ","R","30000","20000","0","20000","N","N","N","Y",""
"13269","PANHANDLE","DOM PICKENS EFFIE M","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"12354","CENTRAL","DOMINION GAS/TULE LAKE INTERCONNECT","M2","RPQ","R","10000","5000","0","5000","N","N","N","Y",""
"59927","CENTRAL","DUKE ZIA PLANT","M2","RPQ","R","40000","50000","0","50000","N","N","N","Y",""
"13196","PANHANDLE","EAST SHAFFER #3 (FARM TAP)","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","419","9581","N","N","N","Y",""
"9164","CENTRAL","EDDY PECOS DIAMOND PROC 12 INCH","MQ","DPQ","D","65000","69000","0","69000","N","N","N","Y",""
"9166","CENTRAL","EDDY PECOS DIAMOND PROC 8 IN","MQ","DPQ","D","30000","30000","0","30000","N","N","N","Y",""
"13260","PANHANDLE","EDNA L SCHULTE","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
